flops_budget,opt_params,opt_tokens,opt_loss,tokens_per_param,a,b,c
1e+16,558718.4481024928,3318587643.039533,-21.559282514317772,5939.642147686454,3.085542190880488,-35.46641303157866,80.35687804283124
3e+16,1000752.1872781425,4401527632.072716,-23.720111965707602,4398.219347433096,3.6126997506735927,-43.35475644774573,106.35123608175256
6e+16,1389668.6616982745,5841990434.38685,-24.999161729537448,4203.872905392801,3.4544423583746666,-42.440665747419786,105.3554601038176
1e+17,1870282.6583012114,7812373762.694897,-25.667250112094706,4177.108592661027,3.2892894148693714,-41.26023623718884,103.72293722235116
3e+17,5220532.710857409,7951652682.614143,-27.47511102834524,1523.149671311643,2.4854316544664283,-33.392842125138806,84.68668420655834
6e+17,13355566.758778969,6103419214.194752,-30.201997431858217,456.99439974591957,3.498021047503123,-49.851433563236824,147.41024350103433
