run_name,params,tokens_per_step,flops_per_step,flops_budget,total_steps,tokens_trained,hours,final_loss,final_psnr
optimal_tokenizer_d1,164624,1048576,1.455717e+12,0,540,566231040,0.0256,0.252262,18.5800
optimal_tokenizer_d2,1118288,1048576,9.406608e+12,0,3678,3856662528,0.0734,0.083235,23.9563
optimal_tokenizer_d3,3647632,1048576,3.008738e+13,0,12000,12582912000,0.2167,0.045670,27.2169
optimal_tokenizer_d4,8539088,1048576,6.960225e+13,0,28094,29458694144,0.6578,0.011610,33.3206
optimal_tokenizer_d5,16579088,1048576,1.342487e+14,0,54547,57196675072,1.9938,0.005684,36.6618
